"latest_psc_name","api_icb_code","api_icb_name","api_current_code_quarter","api_current_org_name_quarter"
"Kent Surrey Sussex HIN","QNX","NHS SUSSEX INTEGRATED CARE BOARD","RXC","EAST SUSSEX HEALTHCARE NHS TRUST"
"Kent Surrey Sussex HIN","QNX","NHS SUSSEX INTEGRATED CARE BOARD","RYR","UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST"
"Manchester HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RJN","EAST CHESHIRE NHS TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","RMC","BOLTON NHS FOUNDATION TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","RWJ","STOCKPORT NHS FOUNDATION TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST"
"Manchester HIN","QOP","NHS GREATER MANCHESTER INTEGRATED CARE BOARD","RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST"
"North East and North Cumbria (NENC) HIN","QHM","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD","RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST"
"North West Coast HIN","QYG","NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD","RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST"
"North West Coast HIN","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST"
"North West Coast HIN","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","RXR","EAST LANCASHIRE HOSPITALS NHS TRUST"
"North West Coast HIN","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST"
"North West Coast HIN","QE1","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD","RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST"
"Oxford HIN","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST"
"Oxford HIN","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST"
"Oxford HIN","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"Oxford HIN","QU9","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD","RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST"
"Oxford HIN","QNQ","NHS FRIMLEY INTEGRATED CARE BOARD","RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST"
"South London HIN","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST"
"South London HIN","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST"
"South London HIN","QKK","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD","RJ2","LEWISHAM AND GREENWICH NHS TRUST"
"South London HIN","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RJ6","CROYDON HEALTH SERVICES NHS TRUST"
"South London HIN","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST"
"South London HIN","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RAX","KINGSTON AND RICHMOND NHS FOUNDATION TRUST"
"South London HIN","QWE","NHS SOUTH WEST LONDON INTEGRATED CARE BOARD","RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"South West HIN","QT6","NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD","REF","ROYAL CORNWALL HOSPITALS NHS TRUST"
"South West HIN","QJK","NHS DEVON INTEGRATED CARE BOARD","RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST"
"South West HIN","QJK","NHS DEVON INTEGRATED CARE BOARD","RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST"
"South West HIN","QJK","NHS DEVON INTEGRATED CARE BOARD","RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST"
"South West HIN","QSL","NHS SOMERSET INTEGRATED CARE BOARD","RH5","SOMERSET NHS FOUNDATION TRUST"
"UCLPartners HIN","QH8","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD","RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST"
"UCLPartners HIN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST"
"UCLPartners HIN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST"
"UCLPartners HIN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST"
"UCLPartners HIN","QMJ","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD","RKE","WHITTINGTON HEALTH NHS TRUST"
"UCLPartners HIN","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST"
"UCLPartners HIN","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","R1H","BARTS HEALTH NHS TRUST"
"UCLPartners HIN","QMF","NHS NORTH EAST LONDON INTEGRATED CARE BOARD","RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST"
"Wessex HIN","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","RNZ","SALISBURY NHS FOUNDATION TRUST"
"Wessex HIN","QVV","NHS DORSET INTEGRATED CARE BOARD","RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST"
"Wessex HIN","QVV","NHS DORSET INTEGRATED CARE BOARD","R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST"
"Wessex HIN","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST"
"Wessex HIN","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","R1F","ISLE OF WIGHT NHS TRUST"
"Wessex HIN","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","RHU","PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST"
"Wessex HIN","QRL","NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD","RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST"
"West Midlands HIN","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST"
"West Midlands HIN","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST"
"West Midlands HIN","QHL","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD","RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST"
"West Midlands HIN","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST"
"West Midlands HIN","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","RL4","THE ROYAL WOLVERHAMPTON NHS TRUST"
"West Midlands HIN","QUA","NHS BLACK COUNTRY INTEGRATED CARE BOARD","RBK","WALSALL HEALTHCARE NHS TRUST"
"West Midlands HIN","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","RLT","GEORGE ELIOT HOSPITAL NHS TRUST"
"West Midlands HIN","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST"
"West Midlands HIN","QWU","NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD","RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST"
"West Midlands HIN","QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST"
"West Midlands HIN","QGH","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD","RLQ","WYE VALLEY NHS TRUST"
"West Midlands HIN","QOC","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD","RXW","THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST"
"West Midlands HIN","QNC","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD","RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST"
"West of England HIN","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST"
"West of England HIN","QOX","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST"
"West of England HIN","QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","RVJ","NORTH BRISTOL NHS TRUST"
"West of England HIN","QUY","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD","RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST"
"West of England HIN","QR1","NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD","RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","RWA","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST"
"Yorkshire & Humber HIN","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QOQ","NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD","RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QF7","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD","RFR","THE ROTHERHAM NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","RCF","AIREDALE NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST"
"Yorkshire & Humber HIN","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","RR8","LEEDS TEACHING HOSPITALS NHS TRUST"
"Yorkshire & Humber HIN","QWO","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","RXF","MID YORKSHIRE TEACHING NHS TRUST"
